CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
137393;2005;1;2;5;32;1;1;2;2;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137393;2005;1;2;5;32;2;1;1;2;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137513;2005;1;1;56;32;1;2;7;1;1;2;0;3;1;2;1;2;0;2;1;1;3;3800;0;0;0;0;0;0;3800;3800
137513;2005;1;2;54;32;1;2;7;1;1;2;0;3;2;2;2;2;5;2;2;1;2;300;0;0;0;0;0;0;0;300
137513;2005;1;2;27;32;1;2;7;1;1;5;0;3;1;1;1;1;0;1;0;1;1;2200;0;0;0;0;0;0;2200;2200
137690;2005;1;1;71;32;1;2;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;600;0;600;0;0;0;600;0;0
137690;2005;1;2;69;32;1;2;2;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137988;2005;1;1;38;32;1;2;4;2;3;1;0;3;1;1;1;1;0;1;0;1;1;1230;0;0;0;0;0;0;750;750
137988;2005;1;2;36;32;1;2;4;1;3;1;0;3;0;0;0;0;0;0;0;0;0;160;0;160;0;0;160;0;0;0
137988;2005;1;1;12;32;1;1;2;2;3;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137988;2005;1;1;13;32;1;1;4;2;3;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137988;2005;1;1;9;32;1;1;2;2;3;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137988;2005;1;1;7;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138160;2005;1;1;72;32;1;2;4;1;3;2;0;3;2;1;1;1;0;1;0;1;1;946;0;0;0;0;0;0;946;946
138160;2005;1;2;68;32;1;2;4;1;1;2;1;0;0;0;0;0;0;0;0;0;0;600;0;600;0;0;0;600;0;0
138397;2005;1;1;62;32;1;2;7;2;3;3;0;3;1;1;1;1;0;1;0;1;1;930;0;0;0;0;0;0;930;930
